PC=C7EB OP: CMP 006F(IMM)  A:6F X:00 Y:00, P:6D, S:FB
PC=C7ED OP: BEQ C7F3(REL)  A:6F X:00 Y:00, P:6F, S:FB
PC=C7F3 OP: NOP ----(IMP)  A:6F X:00 Y:00, P:6F, S:FB
PC=C7F4 OP: LDA 0040(IMM)  A:6F X:00 Y:00, P:6F, S:FB
PC=C7F6 OP: STA 0001(ZPG)  A:40 X:00 Y:00, P:6D, S:FB
PC=C7F8 OP: BIT 0001(ZPG)  A:40 X:00 Y:00, P:6D, S:FB
PC=C7FA OP: CLD ----(IMP)  A:40 X:00 Y:00, P:6D, S:FB
PC=C7FB OP: LDA 0010(IMM)  A:40 X:00 Y:00, P:65, S:FB
PC=C7FD OP: CLC ----(IMP)  A:10 X:00 Y:00, P:65, S:FB
PC=C7FE OP: PHP ----(IMP)  A:10 X:00 Y:00, P:64, S:FB
PC=C7FF OP: PLA ----(IMP)  A:10 X:00 Y:00, P:64, S:FA
PC=C800 OP: AND 00EF(IMM)  A:74 X:00 Y:00, P:64, S:FB
PC=C802 OP: CMP 0064(IMM)  A:64 X:00 Y:00, P:64, S:FB
PC=C804 OP: BEQ C80A(REL)  A:64 X:00 Y:00, P:67, S:FB
PC=C80A OP: NOP ----(IMP)  A:64 X:00 Y:00, P:67, S:FB
PC=C80B OP: LDA 0080(IMM)  A:64 X:00 Y:00, P:67, S:FB
PC=C80D OP: STA 0001(ZPG)  A:80 X:00 Y:00, P:E5, S:FB
PC=C80F OP: BIT 0001(ZPG)  A:80 X:00 Y:00, P:E5, S:FB
PC=C811 OP: SED ----(IMP)  A:80 X:00 Y:00, P:A5, S:FB
PC=C812 OP: LDA 0000(IMM)  A:80 X:00 Y:00, P:AD, S:FB
PC=C814 OP: SEC ----(IMP)  A:00 X:00 Y:00, P:2F, S:FB
PC=C815 OP: PHP ----(IMP)  A:00 X:00 Y:00, P:2F, S:FB
PC=C816 OP: PLA ----(IMP)  A:00 X:00 Y:00, P:2F, S:FA
PC=C817 OP: AND 00EF(IMM)  A:3F X:00 Y:00, P:2D, S:FB
PC=C819 OP: CMP 002F(IMM)  A:2F X:00 Y:00, P:2D, S:FB
PC=C81B OP: BEQ C821(REL)  A:2F X:00 Y:00, P:2F, S:FB
PC=C821 OP: NOP ----(IMP)  A:2F X:00 Y:00, P:2F, S:FB
PC=C822 OP: LDA 00FF(IMM)  A:2F X:00 Y:00, P:2F, S:FB
PC=C824 OP: PHA ----(IMP)  A:FF X:00 Y:00, P:AD, S:FB
PC=C825 OP: PLP ----(IMP)  A:FF X:00 Y:00, P:AD, S:FA
PC=C826 OP: BNE C831(REL)  A:FF X:00 Y:00, P:EF, S:FB
PC=C828 OP: BPL C831(REL)  A:FF X:00 Y:00, P:EF, S:FB
PC=C82A OP: BVC C831(REL)  A:FF X:00 Y:00, P:EF, S:FB
PC=C82C OP: BCC C831(REL)  A:FF X:00 Y:00, P:EF, S:FB
PC=C82E OP: JMP C835(ABS)  A:FF X:00 Y:00, P:EF, S:FB
PC=C835 OP: NOP ----(IMP)  A:FF X:00 Y:00, P:EF, S:FB
PC=C836 OP: LDA 0004(IMM)  A:FF X:00 Y:00, P:EF, S:FB
PC=C838 OP: PHA ----(IMP)  A:04 X:00 Y:00, P:6D, S:FB
PC=C839 OP: PLP ----(IMP)  A:04 X:00 Y:00, P:6D, S:FA
PC=C83A OP: BEQ C845(REL)  A:04 X:00 Y:00, P:24, S:FB
PC=C83C OP: BMI C845(REL)  A:04 X:00 Y:00, P:24, S:FB
PC=C83E OP: BVS C845(REL)  A:04 X:00 Y:00, P:24, S:FB
PC=C840 OP: BCS C845(REL)  A:04 X:00 Y:00, P:24, S:FB
PC=C842 OP: JMP C849(ABS)  A:04 X:00 Y:00, P:24, S:FB
PC=C849 OP: NOP ----(IMP)  A:04 X:00 Y:00, P:24, S:FB
PC=C84A OP: SED ----(IMP)  A:04 X:00 Y:00, P:24, S:FB
PC=C84B OP: LDA 00FF(IMM)  A:04 X:00 Y:00, P:2C, S:FB
PC=C84D OP: STA 0001(ZPG)  A:FF X:00 Y:00, P:AC, S:FB
PC=C84F OP: BIT 0001(ZPG)  A:FF X:00 Y:00, P:AC, S:FB
PC=C851 OP: CLC ----(IMP)  A:FF X:00 Y:00, P:EC, S:FB
PC=C852 OP: LDA 0000(IMM)  A:FF X:00 Y:00, P:EC, S:FB
PC=C854 OP: PHA ----(IMP)  A:00 X:00 Y:00, P:6E, S:FB
